  0, 0, 0
  256, 128, 85
  512, 256, 170
  768, 384, 256
  1024, 512, 341
  1280, 640, 426
  1536, 768, 512
  1792, 896, 597
  2048, 1024, 682
  2304, 1152, 768
  2560, 1280, 853
  2816, 1408, 938
  3072, 1536, 1024
  3328, 1664, 1109
  3584, 1792, 1194
  3840, 1920, 1280
  4096, 2048, 1365
  4352, 2176, 1450
  4608, 2304, 1536
  4864, 2432, 1621
  5120, 2560, 1706
  5376, 2688, 1792
  5632, 2816, 1877
  5888, 2944, 1962
  6144, 3072, 2048
  6400, 3200, 2133
  6656, 3328, 2218
  6912, 3456, 2304
  7168, 3584, 2389
  7424, 3712, 2474
  7680, 3840, 2560
  7936, 3968, 2645
  8192, 4096, 2730
  8448, 4224, 2816
  8704, 4352, 2901
  8960, 4480, 2986
  9216, 4608, 3072
  9472, 4736, 3157
  9728, 4864, 3242
  9984, 4992, 3328
  10240, 5120, 3413
  10496, 5248, 3498
  10752, 5376, 3584
  11008, 5504, 3669
  11264, 5632, 3754
  11520, 5760, 3840
  11776, 5888, 3925
  12032, 6016, 4010
  12288, 6144, 4096
  12544, 6272, 4181
  12800, 6400, 4266
  13056, 6528, 4352
  13312, 6656, 4437
  13568, 6784, 4522
  13824, 6912, 4608
  14080, 7040, 4693
  14336, 7168, 4778
  14592, 7296, 4864
  14848, 7424, 4949
  15104, 7552, 5034
  15360, 7680, 5120
  15616, 7808, 5205
  15872, 7936, 5290
  16128, 8064, 5376
  16384, 8192, 5461
  16640, 8320, 5546
  16896, 8448, 5632
  17152, 8576, 5717
  17408, 8704, 5802
  17664, 8832, 5888
  17920, 8960, 5973
  18176, 9088, 6058
  18432, 9216, 6144
  18688, 9344, 6229
  18944, 9472, 6314
  19200, 9600, 6400
  19456, 9728, 6485
  19712, 9856, 6570
  19968, 9984, 6656
  20224, 10112, 6741
  20480, 10240, 6826
  20736, 10368, 6912
  20992, 10496, 6997
  21248, 10624, 7082
  21504, 10752, 7168
  21760, 10880, 7253
  22016, 11008, 7338
  22272, 11136, 7424
  22528, 11264, 7509
  22784, 11392, 7594
  23040, 11520, 7680
  23296, 11648, 7765
  23552, 11776, 7850
  23808, 11904, 7936
  24064, 12032, 8021
  24320, 12160, 8106
  24576, 12288, 8192
  24832, 12416, 8277
  25088, 12544, 8362
  25344, 12672, 8448
  25600, 12800, 8533
  25856, 12928, 8618
  26112, 13056, 8704
  26368, 13184, 8789
  26624, 13312, 8874
  26880, 13440, 8960
  27136, 13568, 9045
  27392, 13696, 9130
  27648, 13824, 9216
  27904, 13952, 9301
  28160, 14080, 9386
  28416, 14208, 9472
  28672, 14336, 9557
  28928, 14464, 9642
  29184, 14592, 9728
  29440, 14720, 9813
  29696, 14848, 9898
  29952, 14976, 9984
  30208, 15104, 10069
  30464, 15232, 10154
  30720, 15360, 10240
  30976, 15488, 10325
  31232, 15616, 10410
  31488, 15744, 10496
  31744, 15872, 10581
  32000, 16000, 10666
  32256, 16128, 10752
  32512, 16256, 10837
  32768, 16384, 10922
  33024, 16512, 11008
  33280, 16640, 11093
  33536, 16768, 11178
  33792, 16896, 11264
  34048, 17024, 11349
  34304, 17152, 11434
  34560, 17280, 11520
  34816, 17408, 11605
  35072, 17536, 11690
  35328, 17664, 11776
  35584, 17792, 11861
  35840, 17920, 11946
  36096, 18048, 12032
  36352, 18176, 12117
  36608, 18304, 12202
  36864, 18432, 12288
  37120, 18560, 12373
  37376, 18688, 12458
  37632, 18816, 12544
  37888, 18944, 12629
  38144, 19072, 12714
  38400, 19200, 12800
  38656, 19328, 12885
  38912, 19456, 12970
