26	39	23	107	77	50	63	77	76	57	68	67	100	26	83	0	14	78	28	5
22	72	22	13	105	33	88	103	72	95	85	27	88	9	39	85	76	105	30	51
61	0	29	38	55	96	105	12	10	24	14	41	18	66	86	44	87	50	12	97
49	84	71	84	22	38	28	50	44	68	10	29	39	52	19	38	18	80	103	78
42	43	86	66	61	21	36	84	64	105	47	15	8	0	0	31	53	81	34	33
53	10	38	82	48	92	68	8	37	89	5	106	72	83	47	100	77	40	2	100
63	37	78	43	104	42	84	73	23	22	21	72	60	25	35	12	47	12	8	42
41	92	47	1	64	89	65	32	38	78	51	8	86	53	36	9	104	13	19	84
30	28	74	39	45	80	58	29	53	58	12	20	63	35	59	91	93	48	22	43
3	40	103	79	35	9	81	91	58	39	50	64	59	6	6	56	103	10	50	37
97	30	6	16	82	62	37	36	86	7	93	49	103	70	87	53	43	68	20	13
39	34	41	62	107	100	99	97	73	71	42	19	104	3	81	25	81	34	39	101
68	94	72	24	65	87	24	69	19	42	64	42	10	105	13	4	45	11	75	69
46	48	89	26	89	2	102	87	89	45	103	75	49	104	84	68	36	70	7	25
24	86	30	8	100	35	60	46	34	81	22	10	17	97	46	39	79	91	9	67
47	59	76	14	36	93	14	28	69	12	26	71	54	45	56	77	89	62	45	7
76	62	98	45	33	79	2	6	0	93	71	97	82	86	62	69	52	1	99	52
101	8	106	71	17	4	61	44	100	55	11	61	85	99	7	50	21	20	68	86
29	88	79	28	66	16	92	102	21	85	60	32	19	36	8	30	66	43	15	1
25	35	26	29	16	53	96	101	56	2	25	17	44	43	107	57	35	15	36	79
23	99	63	104	96	55	8	64	75	16	37	66	40	49	67	99	64	64	66	65
90	46	60	101	34	99	26	9	83	33	46	89	37	71	69	95	65	52	3	63
83	60	35	98	74	51	16	47	67	56	39	39	6	14	88	32	80	61	76	44
50	98	12	41	1	40	71	10	30	14	0	90	28	20	64	64	97	95	60	8
73	56	88	93	42	71	78	38	51	82	70	51	69	63	66	41	29	97	18	30
45	61	49	32	28	3	98	105	15	54	34	65	14	58	15	40	51	92	97	91
100	49	5	34	5	106	29	13	54	53	82	62	70	72	14	51	0	51	32	106
93	20	104	15	8	1	22	62	26	17	17	99	11	93	94	70	92	104	89	59
60	95	24	50	103	101	80	33	2	34	65	37	55	84	68	20	105	29	81	9
106	93	15	69	41	27	1	16	46	70	16	105	78	46	54	5	88	8	52	95
10	13	66	89	50	41	50	104	3	60	43	12	101	5	25	65	7	33	6	57
54	27	53	30	40	97	67	18	96	11	31	101	38	51	33	3	40	89	43	16
1	90	68	99	10	69	3	98	4	100	105	6	50	42	38	15	54	60	101	22
102	42	70	40	54	25	15	35	101	19	90	86	33	12	100	78	90	77	86	62
98	101	95	51	88	54	20	51	71	9	95	28	87	50	10	82	84	7	88	28
15	66	19	59	59	24	49	83	42	25	104	78	67	15	44	94	13	83	13	74
17	7	54	83	11	31	25	88	52	3	7	25	31	1	50	101	19	71	46	76
31	104	8	105	6	19	93	70	55	84	84	80	36	37	58	17	73	65	27	23
87	70	7	49	9	8	62	23	99	18	6	3	76	79	30	47	49	36	72	82
16	41	11	87	52	98	35	90	104	76	36	95	95	11	37	61	59	66	21	14
8	68	96	75	2	32	11	30	66	40	4	85	35	60	28	28	56	54	11	49
89	65	55	65	31	43	10	7	14	29	94	35	107	80	27	46	101	28	98	2
67	14	69	48	3	23	52	80	105	47	91	92	3	2	4	102	24	90	49	19
85	64	28	25	92	39	86	45	63	23	86	2	46	74	9	73	33	88	84	53
34	67	43	96	37	11	27	96	78	98	30	93	52	82	101	16	58	106	87	39
33	3	46	12	87	61	91	82	94	44	96	9	9	19	98	7	74	4	92	104
62	23	21	19	97	29	59	99	41	10	101	50	71	41	40	29	9	58	67	47
79	45	10	35	7	72	17	17	12	96	78	68	64	59	12	2	61	3	54	73
64	58	51	63	62	17	39	65	28	27	87	16	61	103	5	103	11	42	16	32
77	76	3	61	58	0	9	26	61	106	13	100	22	31	60	59	60	69	57	10
66	87	37	3	76	18	48	48	103	59	44	1	23	68	18	45	71	17	47	35
59	32	25	0	70	20	74	76	27	5	81	96	80	85	43	48	85	25	79	61
37	53	84	67	39	59	0	74	32	49	18	88	84	107	34	42	6	0	41	93
